N, Quick, Selection, Insertion, Bubble, Heap, Merge, ShellSort, Radix, BetterInsert, MergeInsert, 
2000, "0", "0.004", "0", "0.004", "0.001", "0.001", "0", "0", "0", "0.001", 
4000, "0", "0.0166667", "0", "0.0176667", "0.002", "0.00166667", "0", "0.000333333", "0", "0.00133333", 
8000, "0", "0.066", "0", "0.074", "0.004", "0.00333333", "0", "0.001", "0.001", "0.003", 
16000, "0.000666667", "0.248333", "0", "0.293", "0.00833333", "0.00666667", "0.000666667", "0.002", "0.00166667", "0.006", 
32000, "0.00166667", "0.98", "0", "1.17133", "0.017", "0.013", "0.00133333", "0.004", "0.003", "0.014", 
64000, "0.00333333", "3.90767", "0", "4.66133", "0.038", "0.027", "0.00266667", "0.00766667", "0.006", "0.0293333", 
128000, "0.00733333", "16.015", "0.000333333", "18.9977", "0.0806667", "0.055", "0.006", "0.0143333", "0.0123333", "0.0576667", 
