N, Quick, Selection, Insertion, Bubble, Heap, Merge, ShellSort, Radix, BetterInsert, MergeInsert, 
2000, "0", "0.004", "0.002", "0.023", "0.001", "0.001", "0", "0", "0.00166667", "0.001", 
4000, "0.000333333", "0.017", "0.009", "0.0953333", "0.00166667", "0.00166667", "0.000333333", "0.000666667", "0.006", "0.002", 
8000, "0.000666667", "0.066", "0.032", "0.384", "0.004", "0.004", "0.001", "0.001", "0.023", "0.00366667", 
16000, "0.002", "0.251", "0.128333", "1.54233", "0.00833333", "0.007", "0.003", "0.002", "0.087", "0.00733333", 
32000, "0.00366667", "0.980333", "0.504667", "6.25933", "0.0186667", "0.0156667", "0.006", "0.004", "0.350667", "0.015", 
64000, "0.007", "3.90033", "2.013", "24.9837", "0.0386667", "0.0306667", "0.014", "0.007", "1.381", "0.031", 
128000, "0.0156667", "15.9367", "8.21733", "101.098", "0.0853333", "0.0633333", "0.031", "0.015", "5.69567", "0.0636667", 
