N, Quick, Selection, Insertion, Bubble, Heap, Merge, ShellSort, Radix, BetterInsert, MergeInsert, 
2000, "4.62891", "4.71094", "4.71094", "4.71094", "4.71094", "6.21875", "6.21875", "6.44141", "6.44531", "7.82422", 
4000, "13.5664", "13.5664", "13.5664", "13.5664", "13.5664", "16.4258", "16.4258", "16.8477", "16.8594", "19.7617", 
8000, "31.2813", "31.2813", "31.2813", "31.2813", "31.2813", "37.1953", "37.1953", "37.957", "37.957", "43.1563", 
16000, "67.7969", "67.7969", "67.7969", "67.7969", "67.7969", "78.7773", "78.7773", "80.3047", "80.3047", "91.7891", 
32000, "140.422", "140.422", "140.422", "140.434", "140.434", "163.945", "163.945", "167", "167", "190.043", 
64000, "290.641", "290.641", "290.641", "290.641", "290.641", "338.453", "338.453", "344.563", "344.563", "392.117", 
128000, "598.242", "598.242", "598.242", "598.242", "598.242", "695.504", "695.504", "707.727", "707.727", "805.746", 
