N, Quick, Selection, Insertion, Bubble, Heap, Merge, ShellSort, Radix, BetterInsert, MergeInsert, 
2000, "10.8008", "10.8008", "10.8008", "10.8008", "10.8008", "12.0352", "12.0352", "12.2539", "12.2656", "13.5469", 
4000, "25.4844", "25.4844", "25.4844", "25.4844", "25.4844", "28.4961", "28.4961", "28.9141", "28.9492", "31.2227", 
8000, "55.8711", "55.8711", "55.8711", "55.8711", "55.8711", "61.1016", "61.1016", "61.8633", "61.8633", "67.6758", 
16000, "116.199", "116.199", "116.199", "116.199", "116.199", "127.918", "127.918", "129.445", "129.445", "140.176", 
32000, "240.539", "240.539", "240.539", "240.539", "240.539", "264.109", "264.109", "267.168", "267.168", "290.152", 
64000, "495.137", "495.137", "495.137", "495.137", "495.137", "542.961", "542.961", "549.07", "549.07", "597.258", 
128000, "1016.84", "1016.84", "1016.84", "1016.84", "1016.84", "1016.84", "1016.84", "1016.84", "1016.84", "1016.84", 
