N, Quick, Selection, Insertion, Bubble, Heap, Merge, ShellSort, Radix, BetterInsert, MergeInsert, 
2000, "7.96875", "7.98047", "7.98438", "7.98828", "7.98828", "9.22656", "9.22656", "9.29688", "9.3125", "10.8008", 
4000, "19.8125", "19.8125", "19.8125", "19.8125", "19.8125", "22.2695", "22.2695", "22.7031", "22.7148", "25.4844", 
8000, "43.3086", "43.3086", "43.3086", "43.3086", "43.3086", "49.4141", "49.4141", "50.1758", "50.1758", "55.8438", 
16000, "92.0977", "92.0977", "92.0977", "92.0977", "92.0977", "103.418", "103.418", "104.949", "104.949", "116.137", 
32000, "190.652", "190.652", "190.652", "190.652", "190.652", "214.309", "214.309", "217.363", "217.363", "240.414", 
64000, "393.34", "393.34", "393.34", "393.34", "393.34", "441.242", "441.242", "447.348", "447.348", "494.895", 
128000, "808.199", "808.199", "808.199", "808.199", "808.199", "906.473", "906.473", "918.695", "918.695", "1016.35", 
